Year,Greenspace (%)
1990,51.19647522865741
1991,12.845641039297668
1992,32.03756524209106
1993,18.71436391342299
1994,24.780751068135825
1995,25.4571384611743
1996,21.699679490025126
1997,10.034263193400637
1998,23.479992661115155
1999,17.752703254558693
2000,0.0
2001,4.256294937420481
2002,23.30316273482322
2003,37.353094339176025
2004,11.427869764359178
2005,20.24422430525967
2006,2.791487649279788
2007,1.62537394253047
2008,10.120569642730308
2009,4.621684636597115
2010,18.362467896748843
2011,30.2939296746476
2012,11.443730152583068
2013,9.517905806256897
2014,8.637708604568587
2015,22.923965533566896
2016,25.619978991285823
2017,19.31178964873398
2018,12.399843774040454
2019,14.401238001680653
2020,7.052989146516114
2021,22.348373886309638
2022,21.458414704872826
2023,26.82964356939538
2024,19.77635347868286
2025,15.150959251062218
